text,label
여자들은 해외출장이나 해외전시회를 보내면 집안에서 부모님이 좋아하지 않는다. 집안에선 어떻게 생각하냐,성차별
여자의 적은 여자다.,성차별
여사원은 사무실의 꽃이어야 하는데 어떻게 생각하느냐,성차별
(화장품 알러지가 있는 여성에게)여자인데 왜 화장을 안하냐,성차별
화장은 예의다,성차별
무슨 용기로 이 나이에 화장을 안 하고 다니느냐,성차별
살을 뺐으면 좋겠다.,성차별
40대이신데 아직 싱글이시네요. 독신주의자세요?,성차별
성격이 까칠하신가봐요. 이혼하신거 보면. 저희는 성격 원만한 분이랑 일했으면 좋겠는데,성차별
"(항암치료로 머리가 짧은 여성에게)남자냐, 여자냐?",성차별
나이가 몇인데 경력이 이거밖에 안 돼,나이 차별
65세 이상은 다 내보내라,나이 차별
"(장, 노년 구직자에게) 채용에 응시 자체가 안됨",나이 차별
"(장, 노년 직원에게) 눈이 안보여 불량을 낸다고 험담",나이 차별
"(장, 노년 직원에게) 야유회에서 제외",나이 차별
나이가 너무 많네요,나이 차별
나이가 어려서 일에 대한 책임감이 있겠느냐,나이 차별
이 나이 먹도록 뭐 했죠?,나이 차별
이 아니 먹도록 인턴 한 번 안하고 뭐했느냐,나이 차별
이 나이까지 취업을 안 한 이유가 무엇인가,나이 차별
나이 어린 상사와의 갈등을 어떻게 해결할 것인가,나이 차별
그 나이 먹도록 뭐 했어요,나이 차별
공백기 때 왜 쉬었나요,나이 차별
공백기 때 뭐 하셨어요,나이 차별
공백기 때 생산적인거 뭐 안했어요?,나이 차별
왜 n년이나 쉬었어요?,나이 차별
공백기 때 아르바이트도 안 하셨어요?,나이 차별
"(아파서 경력 공백기가 생긴 사람에게) 또 아프면 어쩌냐, 그럼 관둘거 아니냐",나이 차별
(긴 공백기에 대해) 뭐가 이렇게 많이 걸려요?,나이 차별
(경력 공백기 동안 아르바이트를 하면서 포트폴리오를 준비한 사람에게) 그럼 직무 관련 일은 전혀 안 한 거냐,나이 차별
(공백기 동안 무언가를 배운 사람에게) 그럼 업무 경험이 전혀 없네요?,나이 차별
"(공백기 동안 시험, 고시 등을 준비한 사람에게) 왜 계속 도전 안해요?",나이 차별
(공백기 동안 아르바이트를 한 사람에게) 직장 구하실 생각은 없으셨나요?,나이 차별
(공백기 동안 휴식을 한 사람에게) 왜 자기계발을 안하냐,나이 차별
(다른 직무로 이직 준비를 하느라 공백기가 있는 사람에게) 이 일도 힘든데 왜 전에 일 관뒀어요?,나이 차별
(공백기가 생긴 사람에게) 여기서 더 쉬면 늦어요,나이 차별
그 나이때 놀면 안돼요,나이 차별
여태껏 일 안하고 뭐 했어요,나이 차별
생산성 없이 살았네요,나이 차별
(암 투병중인 가족을 간호하느라 경력 공백이 생긴 면접자에게)직장보다 가족이 우선인 사람은 싫다,나이 차별
내가 네 나이때는 말이야…,모욕적 언행
하여간 요즘 젊은 것들은 진득하게 끝까지 하는 법이 없어,모욕적 언행
(계약직 경력이 다수 있는 지원자에게) 역마살이 있나? 여자가 이리저리 정착도 못하고 하는거 보면 본인이 문제가 있다고 생각하지 않나?,모욕적 언행
(편부모 가정 지원자에게) 부모님이 언제 이혼하셨나? 그래서 성격에 문제가 있는거 아니야? 이래서 가정교육이 중요한데 말이야. 쯧,모욕적 언행
(지원자에게 반말로 질문),모욕적 언행
(신입사원 지원자에게) 해당 직무 관련해서 경험이 없네요?,모욕적 언행
어학 점수가 낮네요?,모욕적 언행
전공이 직무랑 다르네요?,모욕적 언행
(부모님의 직업을 물어봄),모욕적 언행
(부모님의 나이를 물어봄),모욕적 언행
노래가 취미야? 한 번 불러봐,모욕적 언행
눈빛이 불량하다.,모욕적 언행
게슴츠레한 눈빛 때문에 태도가 불량해 보인다.,모욕적 언행
웃겨 보라,모욕적 언행
"이력서에 부모님이 자영업을 한다고 쓰여 있던데, 외동딸에게 집도 마련해주지 못하는 것을 보면 벌이가 시원치 않은가 보다",모욕적 언행
지원자 대부분이 토익점수가 900점이 넘는데 당신만 800점대다. 학벌도 좋지 않은데 (우리 회사처럼) 좋은 직장에 취업하려면 다른 사람보다 더 노력해야 한다고 생각지 않나. 도대체 학교 다닐 때 뭘 했냐,모욕적 언행
지방 사립대에서 학점이 좋은 것은 자랑이 아니다,모욕적 언행
"정치 성향이 진보인지, 보수인지 답변해달라",모욕적 언행
(특정 종교 신도가 될 것을 요구),모욕적 언행
노력이 부족했던 것 아니냐,모욕적 언행
"편부,편모 슬하에서 자랐는데 성격적 결함이 있는 것 아니냐",모욕적 언행
부모님 학력이 어떻게 되시냐,모욕적 언행
아버지가 뭘 하시냐,모욕적 언행
상사가 부당한 일을 시킨다면 어떻게 할 생각이냐,모욕적 언행
토익 점수가 너무 낮다,모욕적 언행
영어 발음이 너무 안 좋다,모욕적 언행
(지원자의 졸업 대학을 보고)이 대학 들어갔는데 성실하다고 말할 수 있냐,모욕적 언행
(지원자 앞에서 흡연),모욕적 언행
(지원자에게 비웃음),모욕적 언행
본인 학벌 부족한거 아시죠?,모욕적 언행
