text,pre_label,gpt_label,comment
살 좀 빼라,성차별,모욕적 언행,"""살 좀 빼라""는 발언은 개인의 외모에 대한 평가를 포함하고 있으며, 면접 상황에서 이러한 의견을 제시하는 것은 지원자에 대한 모욕적 언행으로 간주될 수 있습니다. 이는 지원자를 하대하는 표현으로 해석될 수 있으며, 면접 상황에서 적절한 발언이 아닙니다. 따라서 이 발언은 [모욕적 언행]에 해당합니다."
"(직무 수행에 필요하지 않은 용모, 키, 체중 등의 신체 조건이나 미혼 조건을 제시함) ex. 결혼은 했나요",성차별,"성차별, 모욕적 언행","해당 문장은 결혼 여부를 묻는 것으로, 직무 수행에 필요하지 않은 개인적인 사생활을 침해하는 질문입니다. 이는 성차별적인 요소로 볼 수 있으며, 지원자의 프라이버시를 침해하고 모욕적으로 느껴질 수 있는 언행에 해당합니다. 따라서 성차별과 모욕적 언행 두 가지 카테고리에 모두 포함됩니다."
여자 나이 40이면 맛이 간다,성차별,모욕적 언행,"""여자 나이 40이면 맛이 간다""라는 표현은 여성의 나이에 대한 편견을 담고 있으며, 여성에 대한 모욕적인 표현으로 간주될 수 있습니다. 이러한 발언은 여성의 나이에 따라 능력을 평가하거나 비하하는 것으로, 모욕적 언행에 해당합니다. 성차별이나 나이차별의 요소가 포함되어 있지만, 주로 모욕적인 표현에 초점을 맞추어 분류했습니다."
남자친구 있나요,성차별,남자친구 있나요,"이 질문은 지원자의 사생활에 대한 부적절한 질문으로, 지원자를 하대하거나 불편하게 만들 수 있는 모욕적 언행에 해당합니다. 성차별이나 나이차별에 해당하지 않습니다."
(여성에게) 여자면서 힘 쓰는 일을 할 수 있겠냐,성차별,성차별,"이 문장은 여성의 신체적 능력에 대한 고정관념을 바탕으로 한 질문으로, 성별에 따른 역할을 제한하고 편견을 강화하는 성차별적 발언입니다. 여성에게도 남성에게 요구되는 업무를 수행할 능력이 없다고 가정하는 것은 성별에 따른 불공정한 대우를 초래할 수 있습니다."
(미혼 여성에게) 결혼은 하고 입사했어야지 왜 이제 와서 결혼하냐,성차별,"성차별, 모욕적 언행","이 문장은 미혼 여성에게 결혼에 대한 편견을 드러내며, 개인의 결혼 시기를 문제 삼는 성차별적인 요소를 포함하고 있습니다. 또한, 지원자의 개인적인 삶에 대해 간섭하고 비난하는 태도는 모욕적인 언행에 해당합니다. 따라서 이 문장은 성차별과 모욕적 언행 두 가지 카테고리에 모두 해당합니다."
애는 언제 낳을 거냐,성차별,성차별,"""애는 언제 낳을 거냐""라는 질문은 여성 지원자에게만 해당되는 질문이며, 지원자의 출산 계획을 묻는 것은 성별에 따른 차별적인 질문으로 볼 수 있습니다. 이러한 질문은 지원자의 업무 능력과 무관하며, 성차별적 요소를 포함하고 있습니다."
여자는 애 낳아야지,성차별,성차별,해당 문장은 여성에게 특정한 역할(출산)을 강요하는 성차별적 내용입니다. 여성의 가치를 출산과 연관지어 판단하는 것은 성차별에 해당합니다. 이 문장은 성차별 카테고리에 포함됩니다.
여자 직원이 마르고 예뻐야…,성차별,성차별,"""여자 직원이 마르고 예뻐야…""라는 문장은 여성의 외모에 대한 평가를 포함하고 있으며, 이는 성차별에 해당합니다. 여성의 외모에 대한 편견을 드러내고, 직업적 능력보다는 외모를 중시하는 태도는 성차별적 발언으로 간주됩니다. 또한, 이러한 발언은 여성 직원에게 불필요한 압박과 불이익을 줄 수 있으므로 부적절한 발언입니다."
살을 좀 빼야겠다,성차별,모욕적 언행,"""살을 좀 빼야겠다""는 발언은 면접자가 지원자의 외모를 평가하고, 개인적인 의견을 강요하는 것으로 해석될 수 있습니다. 이는 지원자를 하대하는 표현으로 볼 수 있으며, 모욕적 언행에 해당합니다. 성차별이나 나이 차별의 요소는 포함되어 있지 않습니다."
현재 연애 중인가요,성차별,모욕적 언행,"""현재 연애 중인가요""라는 질문은 지원자의 사생활에 대한 과도한 개입으로 볼 수 있으며, 면접에서 필요하지 않은 개인적인 질문을 하는 것은 지원자를 하대하는 표현으로 해석될 수 있습니다. 이는 모욕적 언행에 해당합니다. 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
(결혼을) 왜 안하냐,성차별,모욕적 언행,"""결혼을 왜 안하냐""는 질문은 면접관이 지원자의 개인적인 삶에 대해 지나치게 개입하는 것으로, 지원자의 사생활을 침해할 수 있는 질문입니다. 이러한 질문은 지원자를 불편하게 만들 수 있으며, 지원자의 결혼 여부를 통해 그 사람을 평가하는 것은 부적절한 행동입니다. 따라서 이 문장은 모욕적 언행에 해당합니다."
비혼주의자냐,성차별,모욕적 언행,"""비혼주의자냐""라는 질문은 지원자의 개인적인 생활방식과 관련된 민감한 정보를 요구하는 것으로, 모욕적 언행에 해당합니다. 이 질문은 지원자의 사생활을 침해하고, 개인의 선택을 존중하지 않는 것으로 해석될 수 있습니다. 따라서, 이 문장은 모욕적 언행 카테고리에 포함됩니다."
"여자는 연애를 해 결혼을 하고, 애를 낳아야 한다. 그렇지 않은 사람을 우리가 어떻게 믿고 같이 일할 수 있겠냐",성차별,성차별,"해당 문장은 여성이 결혼과 출산을 해야 한다는 전통적인 역할을 강요하며, 그렇지 않은 사람을 믿지 못하겠다는 내용을 담고 있습니다. 이는 성별에 따른 고정관념을 강화하고, 여성 지원자에게 불이익을 줄 수 있는 성차별적 발언에 해당합니다. 여성에게 특정한 역할을 강요하고, 이를 따르지 않는 사람을 평가절하하는 내용이기 때문입니다."
(여성스러움 강요),성차별,모욕적 언행,"""여성스러움 강요"" 발언은 지원자의 개인적인 성향이나 선택을 무시하고 특정 성별에 대한 편견을 강요하는 내용으로, 모욕적 언행에 해당합니다. 이는 지원자의 자율성을 침해하고, 성별에 대한 고정관념을 강화하는 부적절한 발언입니다."
(상냥함 강요),성차별,모욕적 언행,"""상냥함 강요""는 지원자에게 부적절한 요구나 강압적인 태도를 보이는 것으로, 이는 모욕적 언행에 해당합니다. 이러한 요구는 지원자를 하대하거나 불편하게 만들 수 있으며, 면접에서의 적절한 행동이 아닙니다."
여자들은 대부분 결혼하면 일을 그만둬서 여자를 뽑기 꺼려진다. 다들 결혼하면 그만둘 거냐?,성차별,성차별,"이 문장은 여성의 결혼과 퇴사 사이의 관계에 대한 편견을 드러내며, 여성 지원자에게 결혼 후 퇴사 가능성을 묻는 것으로 성차별에 해당합니다. 여성에 대한 일반적인 편견을 바탕으로 채용 결정을 내리려는 시도로 볼 수 있습니다."
"결혼, 출산에 대한 생각이 없는 책임감 없는 여성에게 어떻게 일을 맡기냐",성차별,성차별,"해당 문장은 결혼과 출산을 책임감의 척도로 여성에게 요구하고 있으며, 이는 성별에 따라 역할과 책임을 구분하는 성차별적 내용입니다. 여성에게만 출산과 결혼에 대한 생각을 책임감과 연결하여 평가하는 것은 성차별에 해당합니다."
여자들은 결혼하면 일을 그만둔다,성차별,성차별,"""여자들은 결혼하면 일을 그만둔다""는 발언은 여성에 대한 편견을 바탕으로 한 일반화이며, 여성의 경력 단절에 대한 고정관념을 조장할 수 있습니다. 이는 성별에 따른 차별적인 인식을 반영하고 있기 때문에 성차별에 해당합니다."
"여자들은 끈기가 없고 적응을 잘 못해서 쓰기 싫은데, 오래 근무할 수 있냐",성차별,"성차별, 모욕적 언행","이 문장은 여성 지원자에 대한 일반화된 부정적인 인식(""여자들은 끈기가 없고 적응을 잘 못해서 쓰기 싫다"")을 드러내며, 여성에 대한 편견을 강화하는 성차별적 발언입니다. 또한, 면접관이 지원자의 근무 지속 가능성에 대해 강압적이고 하대하는 태도로 질문하고 있어 모욕적 언행에도 해당합니다. 이러한 발언은 지원자를 부적절하게 평가하고 비하하는 내용을 포함하고 있습니다."
여자인 거 치고는 (연봉) 많이 받았네,성차별,성차별,"""여자인 거 치고는 (연봉) 많이 받았네""라는 문장은 성별에 따라 능력이나 성과를 평가하는 내용으로, 여성 지원자에 대한 편견을 드러내며 성별에 따른 차별적인 인식을 반영하고 있습니다. 따라서 이 문장은 성차별에 해당합니다."
여자가 인상이 무뚝뚝하다,성차별,모욕적 언행,"""여자가 인상이 무뚝뚝하다""는 발언은 여성의 인상에 대한 평가를 내리고 있으며, 이는 외모 평가로 해석될 수 있습니다. 그러나 주로 모욕적 언행에 해당하며, 성차별의 요소도 일부 포함될 수 있습니다. 따라서 주로 모욕적 언행으로 분류하되, 성차별의 요소도 고려할 수 있습니다."
여자가 무뚝뚝하면 사회생활이 힘들다고 더 상냥하게 행동하고 웃어야겠다.,성차별,모욕적 언행,"면접관이 여성 지원자에게 무뚝뚝하다는 이유로 사회생활이 힘들다고 언급하고, 더 상냥하게 행동하고 웃어야 한다고 요구하는 것은 지원자의 성격이나 행동에 대한 모욕적인 언행에 해당합니다. 이러한 발언은 지원자의 개인적인 특성을 부적절하게 평가하고, 특정 성별에 대한 편견을 드러내는 것으로 볼 수 있습니다. 따라서 이 문장은 모욕적 언행 카테고리에 포함됩니다."
(무뚝뚝한 여성에게) 집에서 부모님에게 애교가 없는 편이냐,성차별,모욕적 언행,"면접관이 지원자의 애교 여부를 질문하는 것은 지원자의 개인적인 성향이나 가족 관계에 대한 부적절한 질문이며, 지원자를 하대하거나 불편하게 만들 수 있는 모욕적 언행에 해당합니다. 이는 지원자의 직무 능력과 관련이 없는 질문이며, 지원자의 존엄성을 해칠 수 있는 발언입니다. 따라서 이 문장은 [모욕적 언행] 카테고리에 포함됩니다. 성차별이나 나이차별 요소는 포함되어 있지 않습니다."
실물이 (이력서) 사진이랑 많이 다르시네요.,성차별,모욕적 언행,"""실물이 (이력서) 사진이랑 많이 다르시네요.""라는 발언은 면접자가 면접 지원자의 외모를 평가하는 발언으로, 지원자의 자존감을 훼손할 수 있습니다. 이는 모욕적 언행에 해당됩니다."
여성이면 출산을 해야 한다,성차별,성차별,"""여성이면 출산을 해야 한다""는 발언은 여성의 출산에 대한 고정관념을 강요하고, 여성의 역할을 출산과 연결짓는 내용이므로 성차별에 해당합니다. 이 발언은 여성의 사회적 역할을 제한하고, 성별에 따른 차별을 유발할 수 있습니다."
기자는 결혼한 뒤 일-가정 양립이 어려운 직업인데 어떻게 할 계획이냐?,성차별,성차별,이 문장은 결혼 후 일-가정 양립이 어려운 직업이라는 고정관념을 바탕으로 기자라는 직업에 대한 성별에 따른 기대나 부담을 언급하고 있습니다. 이는 여성의 일과 가정 생활에 대한 전통적인 역할을 강요하는 성차별적 발언으로 볼 수 있습니다.
아니 연애를 해야 결혼을 하고 그래야 애를 낳지. 그렇게 안 하는 사람을 우리가 뭘 믿고 채용을 해요?,성차별,성차별,"이 문장은 연애, 결혼, 출산을 연결하여 언급하며, 이러한 전통적인 생애 경로를 따르지 않는 지원자에 대한 불신을 표현하고 있습니다. 이는 성별에 따른 전통적인 역할을 강조하고, 이에 부합하지 않는 지원자를 부정적으로 평가하는 내용으로 성차별에 해당합니다."
(육아로 인해 경력단절을 겪은 뒤 이혼을 하여 닥치는 대로 구직활동을 하는 여성에게) 왜 이혼을 했느냐,성차별,모욕적 언행,"해당 질문은 지원자의 개인적인 과거사에 대한 침해이며, 이러한 질문은 면접에서 적절하지 않습니다. 이는 지원자의 능력이나 직무 적합성과 무관한, 개인의 사생활을 침해하는 질문으로 모욕적 언행에 해당합니다. 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
"여자는 힘들어서 오래 못 견디던데, 오래하실 수 있냐",성차별,"성차별, 모욕적 언행","""여자는 힘들어서 오래 못 견디던데, 오래하실 수 있냐""라는 문장은 성차별과 모욕적 언행 두 가지 카테고리에 모두 해당됩니다. 이 문장은 여성에 대한 고정관념을 바탕으로 한 성차별적 발언이며, 지원자의 능력에 대한 의구심을 표현하면서 하대하는 표현을 사용하여 모욕적 언행에도 해당됩니다. 성별에 따른 편견을 드러내고, 지원자를 존중하지 않는 태도가 포함되어 있기 때문입니다."
여자들은 해외출장이나 해외전시회를 보내면 집안에서 부모님이 좋아하지 않는다. 집안에선 어떻게 생각하냐,성차별,"성차별, 모욕적 언행","이 문장은 여성 면접자에게 해외 출장이나 해외 전시회에 참여하는 것에 대해 집안에서의 부모님의 의견을 묻는 내용입니다. 이는 여성의 직업 활동에 대해 가족 내에서 전통적인 성 역할에 대한 기대나 제약을 암시하고 있으므로 성차별에 해당합니다. 또한, 면접자가 면접 대상자를 하대하거나 강압적인 어투로 질문을 하고 있으므로 모욕적 언행에도 해당합니다."
여자의 적은 여자다.,성차별,모욕적 언행,"""여자의 적은 여자다""라는 문장은 여성 지원자 간의 갈등을 조장하고 여성의 자존감을 저해할 수 있는 모욕적인 표현으로 해석될 수 있습니다. 이러한 발언은 지원자를 하대하거나 부적절한 반말, 강압적 어투는 아니지만, 여성 지원자에 대한 편견과 차별을 조장할 수 있는 내용으로 모욕적 언행에 해당합니다. 따라서 이 문장은 [모욕적 언행]으로 분류됩니다."
여사원은 사무실의 꽃이어야 하는데 어떻게 생각하느냐,성차별,"성차별, 모욕적 언행","""여사원은 사무실의 꽃이어야 하는데 어떻게 생각하느냐""라는 문장은 여성 지원자를 사무실의 장식물로 비유하는 것으로 성차별적 요소와 함께 모욕적 언행에 해당합니다. 여성 지원자를 외모 중심으로만 평가하고, 업무 능력이나 인격 등을 무시하는 듯한 발언이기 때문입니다. 이러한 발언은 지원자에 대한 존중이 부족하며, 성별에 따른 고정관념을 강화하는 것으로 해석될 수 있습니다."
(화장품 알러지가 있는 여성에게)여자인데 왜 화장을 안하냐,성차별,"성차별, 모욕적 언행","이 문장은 여성 면접자에게 화장을 하지 않은 이유를 묻는 것으로, 여성의 외모에 대한 평가를 내리고 있습니다. 이는 성차별적인 요소로 볼 수 있습니다. 또한, 면접관이 면접자에게 이러한 질문을 하는 것은 지원자를 하대하는 표현으로 해석될 수 있으며, 이는 모욕적 언행에도 해당됩니다. 따라서 이 문장은 성차별과 모욕적 언행 두 가지 카테고리에 모두 포함됩니다."
화장은 예의다,성차별,모욕적 언행,"""화장은 예의다""라는 문장은 면접 지원자에 대한 외모 평가와 관련된 내용으로 볼 수 있습니다. 이러한 발언은 지원자의 개인적인 선택을 존중하지 않고, 외적인 모습을 평가하는 것이기 때문에 모욕적 언행으로 분류할 수 있습니다. 이 문장은 지원자를 하대하거나 부적절한 반말, 강압적 어투는 아니지만, 외적인 모습을 평가하는 것은 지원자에 대한 존중이 부족하다고 볼 수 있습니다. 따라서, 이 문장은 모욕적 언행에 해당합니다."
무슨 용기로 이 나이에 화장을 안 하고 다니느냐,성차별,모욕적 언행,"""무슨 용기로 이 나이에 화장을 안 하고 다니느냐""라는 문장은 면접자가 지원자의 외모와 나이에 대해 부적절하게 언급하고 있으며, 이는 지원자를 하대하는 표현으로 해석될 수 있습니다. 이러한 발언은 지원자의 자존감을 훼손하고 불쾌감을 줄 수 있으므로 모욕적 언행으로 분류됩니다. 또한, 이 문장은 나이와 관련된 외모 평가를 포함하고 있으므로, 나이 차별의 요소도 일부 포함되어 있을 수 있습니다. 하지만 주로 모욕적 언행에 해당합니다."
살을 뺐으면 좋겠다.,성차별,모욕적 언행,"""살을 뺐으면 좋겠다""는 발언은 지원자의 외모를 평가하고, 개인적인 의견을 강하게 표현한 것으로 모욕적 언행에 해당합니다. 이는 지원자를 하대하는 표현으로 해석될 수 있으며, 면접 상황에서 부적절한 발언입니다."
40대이신데 아직 싱글이시네요. 독신주의자세요?,성차별,모욕적 언행,"""40대이신데 아직 싱글이시네요. 독신주의자세요?"" 라는 질문은 지원자의 사생활에 대한 민감한 정보를 요구하며, 개인의 선택을 존중하지 않는 태도로 해석될 수 있습니다. 이는 지원자를 하대하거나 부적절한 질문을 통해 불편함을 주는 모욕적 언행에 해당합니다. 성차별이나 나이차별에 직접적으로 해당하지는 않지만, 개인의 사생활을 존중하지 않는 태도로 인해 모욕적 언행으로 분류할 수 있습니다."
성격이 까칠하신가봐요. 이혼하신거 보면. 저희는 성격 원만한 분이랑 일했으면 좋겠는데,성차별,모욕적 언행,"이 문장은 면접관이 면접자의 이혼 경력을 언급하며 성격을 평가하고, 이를 근거로 회사에서 원하지 않는 성격의 사람으로 단정짓는 모욕적인 언행을 포함하고 있습니다. 이는 면접자의 개인적인 과거를 모욕적으로 언급하는 것이며, 강압적 어투와 부적절한 평가를 포함하고 있습니다. 따라서 이 문장은 [모욕적 언행]에 해당합니다."
"(항암치료로 머리가 짧은 여성에게)남자냐, 여자냐?",성차별,"[성차별], [모욕적 언행]","이 문장은 항암치료로 머리가 짧은 여성에게 성별을 묻는 것으로 성별을 비하하는 표현을 사용하고 있습니다. 이는 성별에 대한 편견을 드러내며, 지원자를 하대하는 표현으로 모욕적 언행에 해당합니다. 또한, 성별에 대한 편견을 드러내며 여성의 외모를 평가하는 것으로 성차별에도 해당합니다. 따라서 이 문장은 성차별과 모욕적 언행 두 가지 카테고리에 모두 포함됩니다."
나이가 몇인데 경력이 이거밖에 안 돼,나이 차별,나이 차별,"해당 문장은 지원자의 나이에 대해 언급하며, 경력이 부족하다는 평가를 내리고 있습니다. 이는 지원자의 능력을 나이로 판단하고, 나이로 인한 편견을 드러내는 것으로 '나이 차별'에 해당합니다. 문장에서는 성별에 대한 언급이나 모욕적인 표현은 포함되어 있지 않으므로, 성차별이나 모욕적 언행에는 해당하지 않습니다. 따라서, 이 문장은 '나이 차별' 카테고리에 포함됩니다."
65세 이상은 다 내보내라,나이 차별,나이 차별,"""65세 이상은 다 내보내라""라는 문장은 지원자의 나이에 따라 차별을 하는 내용입니다. 이는 지원자의 능력과 관계 없이 나이를 기준으로 채용을 결정하려는 것이므로, 명백한 나이 차별에 해당합니다. 이 문장은 성차별이나 모욕적 언행의 요소를 포함하고 있지 않으므로, '나이 차별' 카테고리에 속합니다."
"(장, 노년 구직자에게) 채용에 응시 자체가 안됨",나이 차별,나이 차별,"""(장, 노년 구직자에게) 채용에 응시 자체가 안됨""이라는 문장은 특정 연령대의 지원자를 채용 고려 대상에서 제외하는 내용으로, 이는 명백한 나이 차별에 해당합니다. 이 문장은 지원자의 연령만을 이유로 채용 기회를 박탈하고 있으므로, 성차별이나 모욕적 언행의 요소는 포함되어 있지 않습니다. 따라서 이 문장은 '나이 차별' 카테고리에 포함됩니다."
"(장, 노년 직원에게) 눈이 안보여 불량을 낸다고 험담",나이 차별,모욕적 언행,"해당 문장은 장, 노년 직원의 시력 문제를 언급하며 험담을 하는 내용으로, 지원자를 하대하거나 부적절한 평가를 내리는 모욕적 언행에 해당됩니다. 개인의 건강 상태를 비하하거나 험담하는 것은 지원자에 대한 존중이 결여된 부적절한 발언입니다."
"(장, 노년 직원에게) 야유회에서 제외",나이 차별,나이 차별,"""야유회에서 제외""라는 발언은 특정 연령대의 직원을 배제하는 내용을 담고 있어, 나이 차별에 해당합니다. 이는 고령자나 장, 노년 직원에 대한 부정적인 태도를 나타내며, 나이로 인한 차별을 야기할 수 있습니다. 이 문장은 성차별이나 모욕적 언행의 요소는 포함하고 있지 않습니다."
나이가 너무 많네요,나이 차별,나이 차별,"""나이가 너무 많네요""라는 발언은 지원자의 나이에 따라 부정적인 평가를 내리는 것으로, 나이 차별에 해당합니다. 이 발언은 지원자의 나이만을 근거로 능력이나 자격을 판단하려는 것으로, 나이 차별의 전형적인 예시입니다. 이 문장에는 성차별이나 모욕적 언행의 요소는 포함되어 있지 않습니다."
나이가 어려서 일에 대한 책임감이 있겠느냐,나이 차별,나이 차별,"""나이가 어려서 일에 대한 책임감이 있겠느냐""라는 문장은 지원자의 나이를 이유로 책임감을 의심하고 있습니다. 이는 지원자의 능력이나 성과와는 무관하게 나이만을 기준으로 차별하는 것으로, 나이 차별에 해당합니다. 이 문장은 모욕적 언행의 요소는 포함하고 있지 않으므로, 성차별과 모욕적 언행 분류에는 해당하지 않습니다. 따라서, 이 문장은 [나이 차별]에 포함됩니다."
이 나이 먹도록 뭐 했죠?,나이 차별,나이 차별,"""이 나이 먹도록 뭐 했죠?"" 라는 문장은 지원자의 나이를 이유로 경력을 평가하거나, 나이에 따른 능력을 의심하는 내용으로 해석될 수 있습니다. 이는 지원자의 나이로 인해 불이익을 줄 수 있는 발언으로, 나이 차별에 해당합니다. 이 문장은 모욕적 언행의 요소도 포함하고 있을 수 있지만, 주로 나이에 대한 차별적 요소가 두드러지므로 주로 나이 차별로 분류합니다."
이 아니 먹도록 인턴 한 번 안하고 뭐했느냐,나이 차별,모욕적 언행,"""이 아니 먹도록""과 같은 표현은 지원자를 하대하고 강압적인 어투로 이루어진 모욕적인 언행에 해당합니다. 이러한 표현은 지원자에 대한 존중이 부족하며, 부적절한 반말과 함께 사용되어 모욕적 언행으로 분류됩니다. 성차별이나 나이차별의 요소는 포함되어 있지 않습니다."
이 나이까지 취업을 안 한 이유가 무엇인가,나이 차별,나이 차별,"""이 나이까지 취업을 안 한 이유가 무엇인가""라는 문장은 지원자의 나이에 대한 질문을 통해 부정적인 인상을 주거나 차별을 유발할 수 있는 내용입니다. 이러한 질문은 지원자의 능력보다는 나이에 초점을 맞추어 평가하려는 시도로 해석될 수 있으며, 이는 나이 차별에 해당합니다. 이 문장은 지원자의 나이에 대한 부정적인 편견을 불러일으킬 수 있으며, 나이로 인한 차별을 초래할 가능성이 있습니다. 따라서 이 문장은 '나이 차별' 카테고리에 포함됩니다."
나이 어린 상사와의 갈등을 어떻게 해결할 것인가,나이 차별,모욕적 언행,"""나이 어린 상사와의 갈등을 어떻게 해결할 것인가""라는 질문은 지원자의 연령을 이유로 갈등을 예상하고 이에 대한 대처 방안을 요구하는 것입니다. 이는 지원자의 연령을 부정적으로 언급하는 것으로 모욕적 언행에 해당합니다. 또한, 이러한 질문은 지원자의 능력보다는 연령에 초점을 맞추고 있어, 연령에 따른 편견을 야기할 수 있습니다. 따라서 이 질문은 모욕적 언행으로 분류됩니다."
그 나이 먹도록 뭐 했어요,나이 차별,나이 차별,"""그 나이 먹도록 뭐 했어요""라는 문장은 면접자의 나이에 따라 그 사람이 그동안 무엇을 했는지 평가하고, 이를 통해 차별적인 의도를 내포하고 있습니다. 이는 지원자의 능력이나 자격보다는 나이에 초점을 맞추어 평가하는 것으로, 나이 차별에 해당합니다. 이 문장은 모욕적 언행의 요소는 포함하고 있지 않으므로, 나이 차별만 해당됩니다."
공백기 때 왜 쉬었나요,나이 차별,공백기 때 왜 쉬었나요,"이 문장은 지원자의 개인적인 상황에 대해 직접적으로 질문하며, 지원자가 공백기를 갖게 된 이유에 대해 민감하게 파고드는 것으로 해석될 수 있습니다. 이는 지원자를 하대하는 표현이나 강압적 어투로 느껴질 수 있어 모욕적 언행으로 분류할 수 있습니다. 특정한 성별이나 나이에 대한 편견을 드러내는 내용은 없으므로 성차별이나 나이차별로 분류하기에는 적절하지 않습니다."
공백기 때 뭐 하셨어요,나이 차별,판별 불가,"""공백기 때 뭐 하셨어요""라는 문장은 지원자의 개인적인 상황에 대한 질문이며, 성차별, 나이차별, 모욕적 언행에 해당하는 내용이 포함되어 있지 않습니다. 이 질문은 지원자의 경력 공백에 대한 이유를 묻고자 하는 것으로, 그 자체로는 차별적이거나 모욕적인 요소가 없습니다. 그러나 질문의 의도와 맥락에 따라 민감하게 받아들여질 수 있으므로, 면접에서는 신중하게 질문해야 합니다."
공백기 때 생산적인거 뭐 안했어요?,나이 차별,모욕적 언행,"""공백기 때 생산적인거 뭐 안했어요?""라는 문장은 지원자의 개인적인 상황이나 경험을 존중하지 않고, 강압적인 어투로 질문을 하여 지원자를 하대하는 표현으로 해석될 수 있습니다. 이는 모욕적 언행으로 분류됩니다. 이 문장은 성차별이나 나이차별의 요소도 포함하고 있지 않아, 모욕적 언행으로만 분류됩니다."
